#TS 	 TEMP
3280 	 368.9698
3290 	 373.8500
3300 	 372.1495
3310 	 364.9825
3320 	 371.0472
3330 	 367.5483
3340 	 374.2665
3350 	 374.8124
3360 	 369.6533
3370 	 368.9535
3380 	 368.9156
3390 	 370.1196
3400 	 367.2319
3410 	 366.6252
3420 	 361.2626
3430 	 365.8908
3440 	 363.6183
3450 	 370.1986
3460 	 372.0517
3470 	 365.5676
3480 	 365.7655
3490 	 374.4193
3500 	 359.9245
3510 	 363.7882
3520 	 365.4439
3530 	 370.8600
3540 	 374.6206
3550 	 371.1221
3560 	 366.7457
3570 	 374.9404
3580 	 373.1585
3590 	 372.8458
3600 	 374.5447
3610 	 371.5831
3620 	 367.1635
3630 	 367.7957
3640 	 358.2747
3650 	 367.3082
3660 	 372.0670
3670 	 367.9835
3680 	 370.3588
3690 	 363.5819
3700 	 367.2485
3710 	 366.5416
3720 	 360.0050
3730 	 367.1424
3740 	 373.0358
3750 	 366.3960
3760 	 368.7170
3770 	 367.8668
3780 	 367.6458
3790 	 363.4120
3800 	 364.9757
3810 	 367.9367
3820 	 367.9611
3830 	 369.0939
3840 	 369.7380
3850 	 370.3906
3860 	 372.3849
3870 	 366.8093
3880 	 368.1974
3890 	 366.1967
3900 	 368.5105
3910 	 368.1488
3920 	 369.3740
3930 	 363.5265
3940 	 365.8670
3950 	 373.0991
3960 	 369.8968
3970 	 362.4824
3980 	 364.4577
3990 	 365.0103
4000 	 366.4947
4010 	 361.4410
4020 	 361.9017
4030 	 367.9503
4040 	 366.4806
4050 	 370.8370
4060 	 367.9399
4070 	 369.4295
4080 	 364.4093
4090 	 368.4552
4100 	 371.6773
4110 	 369.0237
4120 	 366.0553
4130 	 370.2351
4140 	 371.4462
4150 	 375.5628
4160 	 373.6935
4170 	 377.5202
4180 	 371.9348
4190 	 369.5462
4200 	 368.0573
4210 	 369.7356
4220 	 371.7488
4230 	 371.1086
4240 	 368.8477
4250 	 369.9029
4260 	 366.9658
4270 	 373.0213
4280 	 365.9867
4290 	 367.2210
4300 	 367.2897
4310 	 366.9395
4320 	 364.3471
4330 	 368.5994
4340 	 373.1571
4350 	 373.8279
4360 	 369.9426
4370 	 372.1278
4380 	 367.7664
4390 	 371.5080
4400 	 368.6568
4410 	 371.2557
4420 	 368.9685
4430 	 368.4521
4440 	 368.7679
4450 	 365.8910
4460 	 367.4370
4470 	 372.9984
4480 	 368.5848
4490 	 366.9730
4500 	 372.7227
4510 	 365.9000
4520 	 372.0932
4530 	 372.7337
4540 	 374.8227
4550 	 366.3393
4560 	 371.8498
4570 	 373.5044
4580 	 375.4184
4590 	 368.6742
4600 	 376.6721
4610 	 367.2668
4620 	 365.1564
4630 	 368.5577
4640 	 363.6024
4650 	 371.8530
4660 	 370.4003
4670 	 370.8567
4680 	 364.4795
4690 	 371.5429
4700 	 366.2821
4710 	 363.6106
4720 	 365.0765
4730 	 366.8055
4740 	 360.0089
4750 	 365.0934
4760 	 363.2812
4770 	 364.6296
4780 	 370.1683
4790 	 369.3972
4800 	 373.4048
4810 	 366.4544
4820 	 368.7096
4830 	 368.6278
4840 	 371.5342
4850 	 365.2516
4860 	 371.4571
4870 	 369.4609
4880 	 369.3817
4890 	 373.0734
4900 	 367.3266
4910 	 371.0367
4920 	 370.7585
4930 	 375.8504
4940 	 370.5672
4950 	 372.4015
4960 	 374.9221
4970 	 368.0672
4980 	 369.7933
4990 	 366.4851
5000 	 370.1992
5010 	 362.6563
5020 	 371.2000
5030 	 374.0134
5040 	 372.0189
5050 	 368.7610
5060 	 370.1132
5070 	 369.9657
5080 	 374.7073
5090 	 372.3266
5100 	 369.9728
5110 	 370.2333
5120 	 371.1024
5130 	 367.9175
5140 	 366.0008
5150 	 363.9603
5160 	 368.2595
5170 	 366.9099
5180 	 371.7762
5190 	 368.2568
5200 	 368.1409
5210 	 373.7093
5220 	 368.9889
5230 	 370.9245
5240 	 370.1429
5250 	 373.7882
5260 	 368.4740
5270 	 373.4903
5280 	 370.1102
5290 	 368.2906
5300 	 369.5196
5310 	 366.9502
5320 	 368.0055
5330 	 368.4455
5340 	 369.9200
5350 	 364.7282
5360 	 369.2091
5370 	 369.5722
5380 	 366.7522
5390 	 369.0812
5400 	 369.0590
5410 	 368.1146
5420 	 367.0641
5430 	 371.1810
5440 	 374.1758
5450 	 373.2136
5460 	 372.3702
5470 	 369.9178
5480 	 368.3110
5490 	 368.8134
5500 	 365.5519
5510 	 371.1061
5520 	 375.5234
5530 	 372.8308
5540 	 371.6474
5550 	 375.4294
5560 	 371.9543
5570 	 369.0304
5580 	 372.3133
5590 	 367.7205
5600 	 372.3118
5610 	 372.9918
5620 	 371.3892
5630 	 372.3734
5640 	 370.3898
5650 	 368.8303
5660 	 366.8587
5670 	 370.2354
5680 	 371.4529
5690 	 375.2642
5700 	 370.6780
5710 	 370.4828
5720 	 370.6458
5730 	 369.4081
5740 	 372.4198
5750 	 368.8035
5760 	 368.9801
5770 	 372.5600
5780 	 370.5499
5790 	 367.8433
5800 	 371.8071
5810 	 371.2314
5820 	 363.6454
5830 	 373.0758
5840 	 369.1807
5850 	 368.9685
5860 	 375.1584
5870 	 370.7900
5880 	 367.6752
5890 	 366.3005
5900 	 375.4942
5910 	 366.7938
5920 	 367.6317
5930 	 364.9176
5940 	 371.1850
5950 	 370.3560
5960 	 369.9937
5970 	 366.0288
5980 	 368.5059
5990 	 366.2392
6000 	 372.8546
6010 	 366.0355
6020 	 368.5071
6030 	 378.9164
6040 	 366.9375
6050 	 371.6906
6060 	 370.8180
6070 	 374.9016
6080 	 367.5566
6090 	 369.5718
6100 	 372.4610
6110 	 369.6337
6120 	 373.2313
6130 	 374.7135
6140 	 372.7798
6150 	 378.4795
6160 	 367.2793
6170 	 367.9815
6180 	 366.4991
6190 	 370.4291
6200 	 372.8013
6210 	 369.7914
6220 	 371.7722
6230 	 372.9450
6240 	 369.4077
6250 	 368.0985
6260 	 370.8119
6270 	 374.8639
6280 	 367.8171
6290 	 371.4038
6300 	 368.8017
6310 	 369.4122
6320 	 363.8782
6330 	 362.3464
6340 	 370.3084
6350 	 369.9964
6360 	 368.2202
6370 	 371.1224
6380 	 369.0031
6390 	 371.6137
6400 	 368.0313
6410 	 366.3297
6420 	 374.9642
6430 	 371.8855
6440 	 377.4953
6450 	 373.0121
6460 	 373.9856
6470 	 370.9313
6480 	 370.1919
6490 	 368.3341
6500 	 370.7971
6510 	 366.8864
6520 	 366.0066
6530 	 366.5429
6540 	 369.3116
6550 	 369.1053
6560 	 371.6879
6570 	 364.5780
6580 	 372.5567
6590 	 372.6981
6600 	 377.6490
6610 	 373.1984
6620 	 373.1481
6630 	 371.9022
6640 	 365.2309
6650 	 369.5498
6660 	 371.5949
6670 	 372.0955
6680 	 371.2200
6690 	 374.9344
6700 	 372.8529
6710 	 373.3327
6720 	 374.1469
6730 	 373.3221
6740 	 371.2386
6750 	 366.4809
6760 	 369.4726
6770 	 370.2703
6780 	 376.7011
6790 	 375.0398
6800 	 371.1933
6810 	 370.9561
6820 	 363.0775
6830 	 374.8398
6840 	 374.3899
6850 	 374.4173
6860 	 375.4690
6870 	 374.2180
6880 	 370.5762
6890 	 373.1878
6900 	 379.0676
6910 	 375.2194
6920 	 375.0022
6930 	 369.7617
6940 	 364.1295
6950 	 368.9222
6960 	 371.8644
6970 	 370.6809
6980 	 368.5336
6990 	 369.1417
7000 	 369.7989
7010 	 372.6390
7020 	 370.1679
7030 	 373.9892
7040 	 379.8104
7050 	 371.6188
7060 	 368.2066
7070 	 371.6354
7080 	 378.2286
7090 	 374.6195
7100 	 368.9611
7110 	 367.3877
7120 	 369.3965
7130 	 369.4579
7140 	 371.2871
7150 	 368.4693
7160 	 371.1659
7170 	 372.7186
7180 	 361.9043
7190 	 368.2241
7200 	 370.2386
7210 	 370.3492
