5.37764 -0.0249723
5.31019 -4.6419
5.41624 2.79556
5.64528 18.779
5.5854 14.6881
5.88575 35.6251
5.7398 25.5546
5.60809 16.4731
5.44941 5.51702
5.63519 18.4948
6.18175 56.5384
6.49818 78.5935
5.8317 32.3564
5.31788 -3.27373
5.38441 1.418
5.39433 2.17692
5.34043 -1.49891
5.42948 4.75775
5.34619 -0.959166
5.36125 0.156287
5.20704 -10.4887
5.27453 -5.72985
5.19185 -11.4047
5.06064 -20.4521
5.58187 15.8322
5.91792 39.2499
6.18227 57.6862
5.5277 12.2768
5.72012 25.7157
5.9015 38.387
5.57737 15.9361
5.36008 0.9086
6.0874 51.5114
6.23425 61.7839
6.15819 56.569
5.93896 41.4069
5.77925 30.3798
5.80088 31.9521
5.52407 12.789
5.71498 26.1228
6.01073 46.7406
5.4136 5.32196
5.42365 6.0901
5.50743 11.9802
5.81448 33.3836
5.7473 28.7854
5.46734 9.40354
5.5995 18.655
5.84733 35.9435
5.93784 42.3017
6.44786 77.8065
6.52149 82.9923
6.07896 52.3149
5.50469 12.4849
5.37242 3.36428
5.59666 19.0135
5.64179 22.2185
5.36048 2.74334
5.19308 -8.81854
5.1002 -15.2019
5.25355 -4.47809
5.02839 -20.0522
5.25293 -4.38204
5.1757 -9.67824
5.00619 -21.3865
5.05785 -17.7274
5.57036 17.9508
5.87669 39.3033
5.16346 -10.1817
5.14787 -11.1954
5.33486 1.8662
5.20628 -6.99823
6.21337 63.0429
6.24736 65.4745
5.81276 35.348
5.67008 25.5041
5.91534 42.6145
6.07228 53.5881
6.13291 57.8698
6.56982 88.295
6.25317 66.3642
6.1976 62.5727
5.55145 17.7485
5.55916 18.3537
6.06503 53.5703
6.01268 50.0029
5.61777 22.6344
5.73813 31.0658
6.01601 50.4422
5.96431 46.92
5.43821 10.4365
5.30418 1.19362
5.18797 -6.8111
5.15222 -9.22519
5.6617 26.2423
5.28644 0.23889
4.83448 -31.0933
5.03345 -17.1998
5.28369 0.256267
5.57816 20.7854
5.82473 37.9863
5.60589 22.8508
5.90336 43.5884
5.8419 39.3875
5.79754 36.3749
5.93487 45.9859
6.04025 53.3772
5.36962 6.85201
5.30737 2.59658
5.67113 27.9398
6.05957 54.9977
5.75852 34.1502
5.7237 31.8008
5.79939 37.1292
6.15025 61.576
6.26773 69.8073
6.45889 83.1585
6.38399 78.0243
6.24559 68.478
6.3794 77.8446
5.97736 49.9801
5.41846 11.2181
5.63214 26.1341
5.77517 36.1407
5.17236 -5.67249
4.90283 -24.3291
5.2054 -3.23755
5.46086 14.5807
5.94883 48.5543
6.10323 59.3508
6.61582 95.0346
7.49606 156.263
7.2927 142.203
6.67692 99.4884
6.07406 57.672
5.67748 30.1875
5.71258 32.6954
5.68509 30.8548
6.42532 82.355
6.26286 71.1366
5.92164 47.4988
5.51733 19.4769
5.12438 -7.75492
5.04093 -13.4838
5.02192 -14.7351
4.79138 -30.6834
4.77108 -32.0241
5.33161 6.99011
5.15365 -5.30453
5.51022 19.5389
5.48089 17.5705
5.7456 36.0321
5.65558 29.8466
5.59 25.3595
5.29938 5.23708
5.16049 -4.34311
5.21004 -0.830668
5.28183 4.22655
5.5219 20.9757
5.42615 14.3926
5.87413 45.5874
5.99041 53.7357
6.06225 58.7966
5.96162 51.8747
5.98702 53.7086
5.8944 47.3427
5.90327 48.0285
6.23692 71.28
6.28323 74.5672
6.11028 62.6203
5.71921 35.5182
5.4292 15.4382
5.14382 -4.31987
5.32359 8.23961
5.9687 53.1307
6.09897 62.2512
5.88978 47.7865
5.70022 34.6853
5.91646 49.7792
5.66419 32.3212
5.66628 32.5355
5.28331 5.99686
5.17721 -1.3055
5.41104 15.0103
5.59777 28.0534
5.31671 8.59498
5.20269 0.742465
5.57029 26.353
5.42425 16.2752
5.37317 12.7956
5.3325 10.0398
5.17796 -0.627856
4.66495 -36.2022
4.70331 -33.4677
5.4298 17.0778
5.49055 21.3683
5.04532 -9.49661
4.4702 -49.386
5.21911 2.71715
5.14876 -2.1009
5.01608 -11.2497
5.06916 -7.49252
5.18388 0.547777
4.96289 -14.7371
5.05663 -8.15485
4.82657 -24.0695
5.12441 -3.30672
5.33902 11.6742
5.55796 26.9552
5.65206 33.5625
5.88821 50.0396
5.83502 46.4136
5.63526 32.6034
5.48761 22.4146
5.61084 31.046
5.66892 35.1505
5.36653 14.2102
5.38507 15.5682
5.80359 44.7157
5.59909 30.5769
5.38036 15.4496
5.33259 12.2001
5.35015 13.4892
4.98989 -11.4715
5.03673 -8.14776
5.2358 5.75279
5.28969 9.56686
5.13062 -1.41627
5.49955 24.2866
5.83639 47.7594
5.51549 25.5328
5.21986 5.06241
5.44231 20.587
5.43887 20.4177
5.67307 36.7592
5.98744 58.6708
5.82129 47.1965
5.71912 40.1669
5.07416 -4.57439
5.53106 27.2401
5.37776 16.658
5.38298 17.0906
5.53774 27.9126
5.74467 42.3596
5.64893 35.7769
5.51052 26.2299
5.63759 35.1279
5.68306 38.3564
5.40812 19.3237
4.98795 -9.79979
5.02144 -7.40339
5.12852 0.105363
5.08873 -2.58968
4.88107 -16.9482
5.16814 3.06684
5.04975 -5.08899
5.37807 17.7914
4.76241 -24.9147
5.07413 -3.18727
5.55777 30.4854
5.28799 11.8105
5.03988 -5.35852
5.48652 25.743
5.76767 45.347
5.9675 59.3002
5.93274 56.9547
5.83425 50.1813
5.14745 2.53273
5.42279 21.7327
5.3427 16.2375
5.14702 2.71097
5.47242 25.3892
5.52447 29.0751
5.56383 31.879
5.83035 50.4662
5.84325 51.4316
6.04192 65.3048
6.22373 78.0059
6.37793 88.789
6.42663 92.2422
6.54502 100.537
6.80874 118.93
6.57465 102.735
5.97513 61.1503
6.17346 74.9998
6.33195 86.0811
6.34015 86.7202
5.98966 62.4382
6.26372 81.5486
6.09047 69.5814
6.17396 75.4512
5.95003 59.9623
6.06353 67.9176
5.93971 59.3841
6.11545 71.664
5.9945 63.33
6.08458 69.6584
5.97498 62.1131
5.79913 49.9648
5.84172 52.9927
6.27193 82.9528
6.52304 100.469
6.39398 91.5718
6.18325 77.0004
5.73383 45.8443
5.35241 19.4131
5.24732 12.1814
5.51323 30.7254
5.27814 14.4612
5.54655 33.1795
5.65781 40.9796
5.93 59.9607
5.59139 36.5034
5.85372 54.7992
5.93728 60.6747
5.65365 41.0379
5.44071 26.3124
5.24048 12.47
5.49429 30.174
5.47169 28.6732
5.46356 28.1779
5.32453 18.5878
5.50596 31.2631
5.53979 33.683
5.88423 57.6836
5.48337 29.9015
5.6355 40.5413
5.39466 23.8772
5.23984 13.1898
5.53033 33.4427
5.45389 28.201
5.31393 18.5458
5.59573 38.1944
5.68547 44.4993
5.67002 43.4952
5.85419 56.3604
5.81818 53.9279
5.67137 43.7972
5.70171 45.9748
5.48088 30.701
5.62642 40.8828
5.71898 47.3833
5.64832 42.5431
5.39904 25.2929
5.54842 35.7411
5.36697 23.2039
5.21754 12.8911
5.53444 34.9786
5.56478 37.1558
5.4413 28.6461
5.38292 24.6596
4.98964 -2.5959
5.5023 33.0926
5.63351 42.2789
5.46711 30.787
5.32575 21.0347
5.74593 50.2978
5.35182 22.9852
5.7515 50.8241
6.1548 78.914
5.43468 28.9503
5.01426 -0.190533
5.26864 17.5535
5.2302 14.9521
5.29222 19.3308
6.01044 69.3014
6.29589 89.2036
6.10511 76.0178
5.81598 55.9986
5.35174 23.8129
5.06748 4.13281
5.74739 51.4417
5.90158 62.2237
5.56366 38.8153
5.23479 16.0354
5.31418 21.6203
5.5345 36.9976
5.80935 56.1631
5.54217 37.6692
5.00701 0.556534
5.11391 8.05307
5.61924 43.2325
6.07399 74.8978
6.28845 89.8675
5.96392 67.389
5.75981 53.2773
5.51176 36.1125
5.27872 19.9905
5.22136 16.0745
5.39422 28.1545
5.19732 14.5433
5.43793 31.3299
5.29139 21.2182
5.61087 43.4848
5.71629 50.8785
5.47282 34.0324
5.31064 22.8336
5.1786 13.7293
5.08046 6.97997
5.00977 2.13798
