#timestep	smd_com_force	smd_com_displacement	smd_fixed_dist
41880	2598.9129632720187	35.66457589210641	73.70760190848702
41890	2616.9163916754846	35.63231553768238	73.68144641631298
41900	2656.9024694101017	35.58615532877124	73.62161526820775
41910	2607.8830757637197	35.69413399286794	73.7373789494853
41920	2596.8469188789354	35.767370225366406	73.78518921260553
41930	2592.9005523642973	35.80032763409717	73.80441486110435
41940	2644.036283631469	35.72265608683101	73.718597169778
41950	2607.3093888075928	35.837251245049046	73.81148153105993
41960	2593.597708078539	35.903541948558605	73.86736274323052
41970	2614.566026730823	35.89213735428709	73.84064800656886
41980	2604.742832988791	35.91604171443565	73.87288763470669
41990	2649.4620973907054	35.82926911948054	73.78865046224928
42000	2668.0990804532776	35.83546237869762	73.76739117455625
42010	2673.181103593029	35.84072267152759	73.77548523405319
42020	2718.891021100964	35.76446987301344	73.68873598454515
42030	2728.557891671834	35.75908694344159	73.67964346093159
42040	2699.409338358116	35.80350923479975	73.7407131967816
42050	2747.818854918239	35.72402010668099	73.64702246309758
42060	2728.580773974536	35.78453702040497	73.69861946373216
42070	2746.1302508278322	35.764933079145806	73.67523385276765
42080	2656.0128003945665	35.99213899099966	73.87928555914709
42090	2687.66271793166	35.96585142478516	73.83782824115292
42100	2709.4074869911865	35.95662994930556	73.80076634520809
42110	2691.807716910184	36.01385902380885	73.85506437245857
42120	2605.9641777015986	36.219633742449986	74.0499509877623
42130	2563.3978386856775	36.349856964653334	74.16008717167206
42140	2565.293854445097	36.360075110352646	74.17718613293444
42150	2573.3826794913184	36.37780399556053	74.16998582209652
42160	2579.175563807814	36.40598688301167	74.18419565925076
42170	2587.203725880912	36.41421435158069	74.17756268232328
42180	2612.7854957945356	36.377386256193084	74.13178127908434
42190	2618.577584840887	36.3790452437441	74.13415444563996
42200	2540.409637880787	36.57318146926542	74.30876325044039
42210	2571.623440317443	36.53370834468424	74.26120378259431
42220	2612.881553627646	36.48053393944778	74.18648429491722
42230	2625.137464684948	36.49536391076391	74.17405496971297
42240	2636.1728262995875	36.51206111339839	74.17246280568011
42250	2612.798803621966	36.595526361183516	74.23393883467318
42260	2653.6029653819987	36.535368569784175	74.165870288024
42270	2592.996610197408	36.70556373781339	74.30921306042744
42280	2510.136195322445	36.915925282818925	74.50335688477399
42290	2584.5178322912257	36.7841484175031	74.36099887952017
42300	2617.063538006446	36.74865890314318	74.30671006456953
42310	2689.728762324743	36.607691222672955	74.16937713497397
42320	2606.9278175176864	36.826238489989535	74.36649654501683
42330	2583.048754792044	36.9150667969658	74.44117204094788
42340	2601.9060597159855	36.88675774990937	74.41169604390159
42350	2607.236213277184	36.89469139676841	74.40990281481356
42360	2660.9464842981397	36.80412565441678	74.3142966090644
42370	2647.0518647430654	36.87245911625068	74.36069033037549
42380	2595.2181824915074	37.011441499891376	74.48724263872305
42390	2554.0236702364405	37.134744708557	74.59553050726296
42400	2564.52233029523	37.14991964982484	74.58808982545403
42410	2603.0313465956824	37.05467455949734	74.5057095719516
42420	2608.492952849979	37.056636709464996	74.49619045904294
42430	2588.4982461241275	37.13867274169486	74.56107360774789
42440	2573.019342286216	37.204459220278935	74.61114199916793
42450	2555.709336244835	37.25755377410747	74.65255455381283
42460	2595.87036887049	37.188898833580055	74.58268708118527
42470	2537.732523496228	37.31236699450339	74.70321452026009
42480	2571.645924985073	37.20609128100003	74.62086334236558
42490	2549.8333042875856	37.23036143269613	74.65938373734409
42500	2527.0604990866905	37.289754367216034	74.71649816439471
42510	2502.7785733087294	37.35461452420964	74.77869357036134
42520	2496.6589395523356	37.362646532998156	74.792044886338
42530	2546.0416704038194	37.262651689444965	74.69376180304484
42540	2545.1146183529354	37.26024254019707	74.69535453299622
42550	2489.1541712076587	37.38321321819792	74.82183445579238
42560	2542.240859679853	37.28905441769156	74.72421575908308
42570	2496.5342778890035	37.40455747687759	74.83365551013796
42580	2468.9882429429267	37.4799667695534	74.90556383480468
42590	2520.1568286231445	37.38748566840053	74.80720686852302
42600	2643.2152615240398	37.1369330294344	74.55439521242191
42610	2712.6068021989495	36.989927328133504	74.4134458514723
42620	2696.949210117842	37.02489005295766	74.44936720980239
42630	2710.959314496048	37.018730281859234	74.43800166863696
42640	2768.0309454234475	36.883795324060806	74.31676750848357
42650	2776.820659536068	36.86569777561946	74.31013790116393
42660	2747.0248461007423	36.924558952725185	74.37788538181225
42670	2764.986362846557	36.90800346698606	74.35340765331472
42680	2778.0648865515777	36.88800740597193	74.33228294496274
42690	2795.356658508155	36.873468058877	74.31008542782064
42700	2778.344280845781	36.9465804078801	74.36529613072216
42710	2767.6032118930652	36.98578050246752	74.40241543552199
42720	2780.911234299655	36.953471281131954	74.38159369474413
42730	2819.5566295505796	36.87486998088303	74.30821311032852
42740	2855.5726631977122	36.830414051623194	74.25423884668133
42750	2799.0007484258867	36.96455527826739	74.3834001170288
42760	2823.1878092759553	36.95011387496062	74.35797031260333
42770	2904.505573486256	36.79209751905209	74.19652992761858
42780	2899.2265084229084	36.81668917063175	74.22025159833399
42790	2855.255488233087	36.9162074772664	74.32409791090639
42800	2845.9515572322452	36.93777266745874	74.34815558297328
42810	2878.414910576858	36.88858867193446	74.29936731446641
42820	2897.4680645191784	36.835269541061834	74.25607985377358
42830	2864.1158374291754	36.91943936215171	74.3381484736471
42840	2883.023037945751	36.86464577261158	74.29597212076843
42850	2929.036822590881	36.7640280622734	74.20010753738838
42860	2963.265808504061	36.683259174757396	74.135045157132
42870	2969.963657838884	36.67219748386993	74.12849785534576
42880	3017.234977326953	36.609019269185765	74.0474786391137
42890	3020.9759203479407	36.60181841225088	74.04988998729168
42900	3024.9471573406427	36.62727777970231	74.0633925751447
42910	3070.7901180819645	36.547623346646475	73.98020448437542
42920	3122.5959917734453	36.46640353061413	73.8955414615794
42930	3100.5356382895834	36.52181477970397	73.9516514894698
42940	3072.305755456695	36.61119225001839	74.03332026189288
42950	3064.6442663057833	36.63837161754573	74.05963720063717
42960	3059.1166731859166	36.67229481542386	74.0911573707686
42970	3030.372175829735	36.73426654597692	74.16153354576751
42980	3012.3325572961367	36.79017596578444	74.21227835533686
42990	3023.8725613237248	36.78136344532192	74.20281313198308
43000	2994.6500372094533	36.83949181318909	74.27135672424464
43010	2990.5187436934325	36.88659320174217	74.30016563985573
43020	2952.804929115694	36.96555997027815	74.38453513157154
