#timestep	smd_com_force	smd_com_displacement	smd_fixed_dist
160650	723.9141980836403	156.7316119933073	194.3835598008484
160660	758.6104962210193	156.67662784861085	194.32202738148342
160670	746.7147248566785	156.7059832320739	194.35483663570093
160680	579.4850932354004	157.0434029759735	194.71320725836756
160690	612.2999954550311	156.9894086177701	194.6501515290959
160700	736.8901409578805	156.74612697227607	194.39695948900535
160710	843.4413308302856	156.5491017942464	194.18809673185427
160720	831.9961014097003	156.60832221068415	194.2257732846493
160730	854.9556358833203	156.59017313124167	194.19581512609892
160740	896.2306590057665	156.54112770464405	194.11996641244815
160750	861.4620745973	156.63421695499198	194.2062622853599
160760	864.3671584173738	156.65803799756299	194.21582618381026
160770	882.021687627551	156.63555101208186	194.1849963129232
160780	990.8333354128463	156.4000393857255	193.96344769860633
160790	891.5777675464386	156.60527988174934	194.17605023805075
160800	812.7551765770155	156.75212779503485	194.3491328911966
160810	900.7716449858491	156.54496937517268	194.16379259429397
160820	940.8985027429422	156.45421122516996	194.0895781895566
160830	891.4677403991589	156.53224343195802	194.20110862067702
160840	836.4249264971083	156.6447013247353	194.32737307247785
160850	838.8759822802666	156.65088724794504	194.33584188219115
160860	826.4782743351996	156.6898141548046	194.3711200066769
160870	773.7788982689441	156.8174451070509	194.49306156272002
160880	890.3099382341394	156.5999207446398	194.2607720817561
160890	794.2373195128604	156.81855069165098	194.47053166742253
160900	757.9913097770155	156.94594748200876	194.56777374799248
160910	806.0270806910332	156.88593162767282	194.47819093083416
160920	571.8952723728833	157.4085082983504	194.9881757813278
160930	690.081503254761	157.19403206688173	194.7530466990953
160940	701.934444772306	157.16742853600613	194.73623190130797
160950	727.1828118061123	157.11918502911283	194.69397182915037
160960	744.0618114850499	157.10136080191108	194.6686918800247
160970	813.8013487173122	156.96835212446697	194.5319847158559
160980	829.3107964296639	156.97075902208906	194.50727337814388
160990	703.7614957116272	157.22985904442442	194.77584046500735
161000	915.3669010752039	156.77775553847428	194.33113247127952
161010	743.0884564837922	157.13397391634535	194.7094609072194
161020	779.5523818850504	157.0302919409208	194.63240932437228
161030	890.8705073251747	156.79657987725176	194.4008834023138
161040	873.727546611638	156.84167886509462	194.4443506259053
161050	817.1516100560161	156.96710102402724	194.5664358810378
161060	762.3898770014106	157.09256671737674	194.69031537128396
161070	733.0644442375333	157.15134084468673	194.7566970804855
161080	677.3240069138855	157.26985039134524	194.8886057683209
161090	789.7064963166437	157.04925879686368	194.66401866695858
161100	714.2012490933172	157.22476083987866	194.8413395193638
161110	576.162680559793	157.52092967338848	195.1446694340381
161120	672.8812574949288	157.31871825547944	194.94846279776098
161130	651.2053398397808	157.34698595498136	195.00506843620758
161140	546.8310770483167	157.55412221366015	195.22695252492676
161150	592.1151720453804	157.45922957876576	195.14124148157404
161160	524.6840115434073	157.59866216400658	195.2880245365291
161170	723.3126774777743	157.20116965438396	194.8773803207545
161180	673.590396048158	157.3103417663213	194.99328627878447
161190	673.8570216961031	157.31968385946408	195.00120585601513
161200	519.5171423875224	157.6623648666077	195.3405386815548
161210	571.363353383666	157.58173207027957	195.2463692568187
161220	623.798237547371	157.49356577827461	195.14523165686114
161230	584.7694925928372	157.5906249737054	195.2410166920875
161240	650.708221658888	157.45785769712313	195.1102343650891
161250	848.9527366275099	157.0303793801653	194.6993169276153
161260	739.093038369953	157.23696415227266	194.93864321229384
161270	625.6392128182403	157.4665287010465	195.18822393172186
161280	670.4880176260176	157.36060926075706	195.1035042668378
161290	624.950950741787	157.4910737536717	195.2158723787848
161300	651.5790525671378	157.44989005970075	195.1758822008754
161310	711.7670577095755	157.33192409707513	195.05900677876937
161320	742.9235534901335	157.27370748638685	195.01353244452037
161330	629.5853749242553	157.49349730360376	195.26163663620665
