Frame         Time          Bond          Angle         Dihed         Impr          Elec          VdW           Conf          Nonbond       Total         
196           196           +255.953      +773.139      +303.224      +43.7823      -1717.19      -287.907      +1376.1       -2005.1       -628.997      
197           197           +258.259      +730.572      +312.472      +40.3121      -1723.33      -291.147      +1341.62      -2014.47      -672.858      
198           198           +240.785      +719.674      +305.075      +40.0911      -1717.94      -298.142      +1305.63      -2016.08      -710.453      
199           199           +258.662      +764.289      +298.913      +41.6147      -1693.99      -308.951      +1363.48      -2002.94      -639.46       
200           200           +247.422      +722.104      +297.73       +44.5624      -1704.67      -298.842      +1311.82      -2003.51      -691.69       
201           201           +229.899      +741.241      +294.827      +49.6968      -1731         -304.147      +1315.66      -2035.15      -719.482      
202           202           +229.462      +723.977      +297.628      +44.0119      -1737.9       -267.949      +1295.08      -2005.85      -710.769      
203           203           +233.41       +735.693      +302.213      +50.6541      -1741.36      -313.391      +1321.97      -2054.75      -732.778      
204           204           +241.192      +712.469      +315.561      +51.8839      -1754.95      -275.095      +1321.11      -2030.04      -708.938      
205           205           +223.129      +704.843      +324.777      +49.6637      -1752.11      -293.366      +1302.41      -2045.47      -743.058      
206           206           +225.555      +740.812      +304.148      +50.3052      -1732.64      -300.962      +1320.82      -2033.6       -712.779      
207           207           +244.07       +754.678      +309.751      +41.8664      -1709.48      -308.372      +1350.37      -2017.85      -667.482      
208           208           +238.022      +730.023      +308.102      +43.2273      -1730.31      -306.254      +1319.37      -2036.56      -717.19       
209           209           +240.328      +712.087      +326.834      +43.8552      -1733.47      -319.116      +1323.1       -2052.58      -729.477      
210           210           +241.164      +731.717      +299.137      +47.049       -1782.69      -293.903      +1319.07      -2076.59      -757.522      
211           211           +252.953      +745.188      +296.227      +51.5782      -1769.87      -326.273      +1345.95      -2096.14      -750.192      
212           212           +242.961      +689.396      +298.799      +48.5258      -1738.34      -277.343      +1279.68      -2015.68      -736.002      
213           213           +242.406      +734.356      +294.076      +37.5928      -1764.85      -285.583      +1308.43      -2050.43      -742.003      
214           214           +225.024      +689.691      +290.665      +43.5157      -1720.44      -283.037      +1248.89      -2003.48      -754.581      
215           215           +220.341      +714.461      +288.305      +36.4132      -1756.36      -281.373      +1259.52      -2037.74      -778.216      
216           216           +241.7        +714.952      +298.585      +47.2596      -1717.56      -305.019      +1302.5       -2022.58      -720.083      
217           217           +232.227      +693.744      +293.79       +40.5613      -1733.29      -311.297      +1260.32      -2044.59      -784.265      
218           218           +244.403      +703.386      +309.034      +45.2069      -1768.37      -300.169      +1302.03      -2068.53      -766.505      
219           219           +232.029      +680.343      +304.61       +41.6395      -1769.65      -278.774      +1258.62      -2048.42      -789.799      
220           220           +255.823      +720.717      +310.076      +50.3267      -1752.73      -310.161      +1336.94      -2062.9       -725.953      
221           221           +231.287      +731.725      +294.115      +39.9375      -1708.6       -322.91       +1297.06      -2031.51      -734.446      
222           222           +238.685      +732.497      +302.522      +42.767       -1727.4       -305.497      +1316.47      -2032.9       -716.427      
223           223           +220.403      +747.287      +301.865      +44.815       -1708.09      -327.363      +1314.37      -2035.45      -721.083      
224           224           +243.768      +727.244      +300.09       +38.7686      -1736.99      -285.039      +1309.87      -2022.03      -712.16       
225           225           +229.677      +735.079      +305.012      +42.7264      -1709.71      -321.753      +1312.49      -2031.47      -718.973      
226           226           +232.29       +701.977      +311.644      +46.0378      -1706.78      -301.933      +1291.95      -2008.71      -716.76       
227           227           +239.643      +730.903      +309.188      +38.1889      -1735.46      -331.691      +1317.92      -2067.15      -749.228      
228           228           +235.399      +716.573      +311.655      +46.4949      -1752.47      -285.299      +1310.12      -2037.77      -727.644      
229           229           +218.207      +791.298      +304.968      +39.2087      -1751.69      -319.918      +1353.68      -2071.61      -717.926      
230           230           +254.996      +744.897      +315.441      +42.05        -1732.09      -305.857      +1357.38      -2037.95      -680.564      
231           231           +234.146      +733.172      +308.311      +41.8932      -1701.03      -316.482      +1317.52      -2017.51      -699.987      
232           232           +230.653      +717.248      +315.846      +47.8258      -1763.74      -299.933      +1311.57      -2063.67      -752.1        
233           233           +213.772      +732.168      +312.911      +38.6299      -1734.76      -300.693      +1297.48      -2035.45      -737.973      
234           234           +221.962      +735.466      +310.025      +41.3582      -1732.69      -316.291      +1308.81      -2048.99      -740.173      
235           235           +254.148      +690.308      +310.687      +52.3837      -1719.41      -314.611      +1307.53      -2034.02      -726.492      
236           236           +271.804      +680.085      +304.634      +43.0383      -1719.81      -330.522      +1299.56      -2050.33      -750.769      
237           237           +225.427      +725.494      +295.828      +40.9963      -1736.92      -319.154      +1287.74      -2056.07      -768.33       
238           238           +228.54       +689.405      +306.43       +48.4743      -1737.46      -304.394      +1272.85      -2041.86      -769.008      
239           239           +236.936      +715.867      +297.283      +48.2237      -1732.49      -318.605      +1298.31      -2051.09      -752.784      
240           240           +230.074      +740.247      +304.045      +45.1549      -1752.11      -317.365      +1319.52      -2069.47      -749.952      
241           241           +229.405      +686.923      +317.399      +44.2245      -1760.7       -310.964      +1277.95      -2071.66      -793.71       
242           242           +250.84       +708.149      +294.531      +37.7635      -1773.93      -291.711      +1291.28      -2065.64      -774.353      
243           243           +226.626      +688.438      +301.148      +45.4123      -1762.08      -291.907      +1261.63      -2053.99      -792.365      
244           244           +222.268      +705.662      +300.84       +48.2686      -1755.96      -316.228      +1277.04      -2072.19      -795.148      
245           245           +232.314      +705.082      +306.817      +40.4492      -1722.2       -298.135      +1284.66      -2020.33      -735.672      
246           246           +230.642      +703.849      +313.579      +40.1991      -1758.78      -282.719      +1288.27      -2041.5       -753.232      
247           247           +240.649      +680.783      +318.033      +50.4998      -1735.57      -291.731      +1289.96      -2027.3       -737.337      
248           248           +240.396      +731.332      +304.62       +43.3367      -1738.54      -305.86       +1319.68      -2044.4       -724.712      
