10000	301.7189
10010	304.1098
10020	298.9695
10030	304.0381
10040	300.3727
10050	301.0913
10060	300.9343
10070	302.4267
10080	300.2851
10090	311.2880
10100	307.0043
10110	301.0210
10120	303.0951
10130	300.3982
10140	303.7031
10150	307.2098
10160	303.8839
10170	303.9625
10180	303.2726
10190	302.0231
10200	307.4988
10210	302.4379
10220	305.3439
10230	306.3577
10240	305.5401
10250	303.2837
10260	307.9305
10270	301.6689
10280	297.3608
10290	305.9688
10300	300.8894
10310	308.1908
10320	305.3360
10330	307.3026
10340	310.1961
10350	308.2114
10360	305.7244
10370	312.0469
10380	302.6288
10390	304.0101
10400	307.2431
10410	305.9562
10420	302.9380
10430	299.7432
10440	303.3893
10450	308.3180
10460	305.9079
10470	307.7921
10480	309.0946
10490	311.3688
10500	307.5039
10510	306.3198
10520	309.3433
10530	306.6277
10540	307.3416
10550	308.8466
10560	304.6531
10570	305.4952
10580	307.1917
10590	306.8350
10600	304.5916
10610	309.4179
10620	312.1097
10630	308.2831
10640	307.0232
10650	312.2387
10660	312.2819
10670	313.7615
10680	309.6158
10690	310.1790
10700	307.7950
10710	309.8680
10720	309.7946
10730	307.6743
10740	305.1819
10750	314.0428
10760	306.7755
10770	304.3662
10780	307.5106
10790	310.6938
10800	309.5791
10810	311.2443
10820	309.9094
10830	308.6943
10840	308.5959
10850	314.6739
10860	306.2117
10870	312.5817
10880	309.1337
10890	310.4346
10900	304.6140
10910	312.3737
10920	309.5873
10930	314.1048
10940	314.1189
10950	312.5165
10960	307.7869
10970	305.6108
10980	309.6031
10990	308.3120
11000	307.2651
11010	306.2029
11020	303.9931
11030	310.1489
11040	306.6742
11050	308.5119
11060	304.7779
11070	309.5962
11080	310.0188
11090	311.8335
11100	304.1396
11110	306.8988
11120	307.7349
11130	310.0377
11140	306.4640
11150	309.0818
11160	309.3500
11170	310.6399
11180	311.4324
11190	311.3623
11200	312.9698
11210	312.3916
11220	314.7331
11230	308.8509
11240	313.7261
11250	316.4576
11260	311.9611
11270	309.1737
11280	311.0229
11290	308.7910
11300	311.3892
11310	311.2990
11320	311.1386
